"state","output","Mean","LL","UL"
"Sokoto","ts_vaccine_vials",754.7,687.645,817.465
"Taraba","ts_deaths",119.9,104.85,139.75
"Taraba","ts_rabid_dogs",3175.464375,3055.18246875,3286.427125
"Taraba","ts_vaccine_vials",955.1,875.865,1043.78
"Yobe","ts_deaths",59.75,49.1025,73.485
"Yobe","ts_rabid_dogs",1600.674375,1529.47703125,1664.49325
"Yobe","ts_vaccine_vials",483.2,429.07,534.275
"Zamfara","ts_deaths",81.7,70.23,99.1825
"Zamfara","ts_rabid_dogs",2187.25,2097.23596875,2264.36190625
"Zamfara","ts_vaccine_vials",658.1,588.935,721.43
