"state","output","LL","Median","UL","year","scenario"
"Adamawa","ts_exp_PEP",605.95,698,780,10,"status quo"
"Adamawa","ts_vaccine_vials",1153.7,1311,1453.05,1,"status quo"
"Adamawa","ts_vaccine_vials",1234.95,1377,1560.5,2,"status quo"
"Adamawa","ts_vaccine_vials",1242.85,1375,1576.2,3,"status quo"
"Adamawa","ts_vaccine_vials",1252.95,1387,1562,4,"status quo"
"Adamawa","ts_vaccine_vials",1256.85,1394,1590.1,5,"status quo"
"Adamawa","ts_vaccine_vials",1256.25,1388,1572.4,6,"status quo"
"Adamawa","ts_vaccine_vials",1296.95,1401,1578.9,7,"status quo"
"Adamawa","ts_vaccine_vials",1237.2,1398,1554.2,8,"status quo"
"Adamawa","ts_vaccine_vials",1218.95,1404,1578.7,9,"status quo"
"Adamawa","ts_vaccine_vials",1211.9,1396,1560,10,"status quo"
"Adamawa","ts_rabid_dogs",3028.528125,3368.68125,3666.1965625,1,"status quo"
"Adamawa","ts_rabid_dogs",3251.755625,3500.7625,3882.5234375,2,"status quo"
"Adamawa","ts_rabid_dogs",3288.326875,3561.34375,3816.0421875,3,"status quo"
"Adamawa","ts_rabid_dogs",3283.3003125,3565.59375,3828.1971875,4,"status quo"
"Adamawa","ts_rabid_dogs",3248.9034375,3586.51875,3854.4090625,5,"status quo"
"Adamawa","ts_rabid_dogs",3334.1025,3559.925,3933.035625,6,"status quo"
"Adamawa","ts_rabid_dogs",3336.0228125,3593.90625,3865.863125,7,"status quo"
"Adamawa","ts_rabid_dogs",3295.3828125,3601.8625,3901.8759375,8,"status quo"
"Adamawa","ts_rabid_dogs",3332.416875,3589.41875,3888.695625,9,"status quo"
"Adamawa","ts_rabid_dogs",3302.964375,3601.34375,3841.659375,10,"status quo"
"Akwa Ibom","ts_deaths",104.475,128,153.575,1,"status quo"
"Akwa Ibom","ts_deaths",108.95,135,160.05,2,"status quo"
"Akwa Ibom","ts_deaths",109,135,165.2,3,"status quo"
"Akwa Ibom","ts_deaths",111.425,138,169.725,4,"status quo"
"Akwa Ibom","ts_deaths",113.475,134,166.575,5,"status quo"
"Akwa Ibom","ts_deaths",112.95,137.5,163.05,6,"status quo"
"Akwa Ibom","ts_deaths",118.475,136,156,7,"status quo"
"Akwa Ibom","ts_deaths",109.95,133,163.525,8,"status quo"
"Akwa Ibom","ts_deaths",110.475,137,164.05,9,"status quo"
"Akwa Ibom","ts_deaths",114.95,136,160.525,10,"status quo"
"Akwa Ibom","ts_exposures",1386.85,1568,1738.925,1,"status quo"
"Akwa Ibom","ts_exposures",1459.65,1632.5,1802.875,2,"status quo"
"Akwa Ibom","ts_exposures",1465.95,1662.5,1838.525,3,"status quo"
"Akwa Ibom","ts_exposures",1477.125,1654,1846.125,4,"status quo"
"Akwa Ibom","ts_exposures",1511.3,1652,1823.25,5,"status quo"
"Akwa Ibom","ts_exposures",1516.85,1657.5,1809.2,6,"status quo"
"Akwa Ibom","ts_exposures",1512.375,1653.5,1828.35,7,"status quo"
"Akwa Ibom","ts_exposures",1473.7,1639,1839.825,8,"status quo"
"Akwa Ibom","ts_exposures",1479.825,1642,1829.625,9,"status quo"
"Akwa Ibom","ts_exposures",1492.55,1662,1808.7,10,"status quo"
"Akwa Ibom","ts_exp_PEP",715,808,909.625,1,"status quo"
"Akwa Ibom","ts_exp_PEP",752.375,847,941.05,2,"status quo"
"Akwa Ibom","ts_exp_PEP",746.175,868,954.825,3,"status quo"
"Akwa Ibom","ts_exp_PEP",745.425,853.5,962.6,4,"status quo"
"Akwa Ibom","ts_exp_PEP",777.9,858.5,953.65,5,"status quo"
"Akwa Ibom","ts_exp_PEP",776.325,856,947.925,6,"status quo"
"Akwa Ibom","ts_exp_PEP",763.95,848,963.825,7,"status quo"
"Akwa Ibom","ts_exp_PEP",755.7,858,940.575,8,"status quo"
"Akwa Ibom","ts_exp_PEP",766.65,854,956.05,9,"status quo"
"Akwa Ibom","ts_exp_PEP",763.65,856.5,938.05,10,"status quo"
"Akwa Ibom","ts_vaccine_vials",1430,1616,1819.25,1,"status quo"
"Akwa Ibom","ts_vaccine_vials",1504.75,1694,1882.1,2,"status quo"
"Akwa Ibom","ts_vaccine_vials",1492.35,1736,1909.65,3,"status quo"
"Akwa Ibom","ts_vaccine_vials",1490.85,1707,1925.2,4,"status quo"
"Akwa Ibom","ts_vaccine_vials",1555.8,1717,1907.3,5,"status quo"
"Akwa Ibom","ts_vaccine_vials",1552.65,1712,1895.85,6,"status quo"
"Akwa Ibom","ts_vaccine_vials",1527.9,1696,1927.65,7,"status quo"
"Akwa Ibom","ts_vaccine_vials",1511.4,1716,1881.15,8,"status quo"
"Akwa Ibom","ts_vaccine_vials",1533.3,1708,1912.1,9,"status quo"
"Akwa Ibom","ts_vaccine_vials",1527.3,1713,1876.1,10,"status quo"
"Akwa Ibom","ts_rabid_dogs",3762.4246875,4114.54375,4513.6546875,1,"status quo"
"Akwa Ibom","ts_rabid_dogs",3923.309375,4312.925,4714.1003125,2,"status quo"
"Akwa Ibom","ts_rabid_dogs",3972.063125,4362.64375,4771.985,3,"status quo"
"Akwa Ibom","ts_rabid_dogs",4004.7921875,4372.93125,4810.7990625,4,"status quo"
"Akwa Ibom","ts_rabid_dogs",4050.703125,4379.5,4722.9509375,5,"status quo"
"Akwa Ibom","ts_rabid_dogs",4121.0228125,4391.28125,4697.650625,6,"status quo"
"Akwa Ibom","ts_rabid_dogs",4057.67625,4369.175,4761.7075,7,"status quo"
"Akwa Ibom","ts_rabid_dogs",4029.565,4408.90625,4721.4240625,8,"status quo"
"Akwa Ibom","ts_rabid_dogs",3993.0675,4350.76875,4728.0703125,9,"status quo"
"Akwa Ibom","ts_rabid_dogs",4053.6825,4376.58125,4795.6715625,10,"status quo"
"Anambra","ts_deaths",113.475,135,164.525,1,"status quo"
"Anambra","ts_deaths",118,143,170,2,"status quo"
"Anambra","ts_deaths",117.475,143,169.525,3,"status quo"
"Anambra","ts_deaths",121.425,148,169,4,"status quo"
"Anambra","ts_deaths",120.475,144,183.35,5,"status quo"
"Anambra","ts_deaths",118,143,168,6,"status quo"
"Anambra","ts_deaths",123.425,146,167.525,7,"status quo"
"Anambra","ts_deaths",121,145.5,171.05,8,"status quo"
"Anambra","ts_deaths",122.475,147,170.525,9,"status quo"
"Anambra","ts_deaths",121.425,147,170,10,"status quo"
"Anambra","ts_exposures",1486.45,1666,1834.925,1,"status quo"
"Anambra","ts_exposures",1527.175,1730,1954.45,2,"status quo"
"Anambra","ts_exposures",1604.85,1751,1935.2,3,"status quo"
"Anambra","ts_exposures",1632.325,1775.5,1941.2,4,"status quo"
"Anambra","ts_exposures",1576.775,1777,1937.15,5,"status quo"
"Anambra","ts_exposures",1589.45,1771,1952.675,6,"status quo"
"Anambra","ts_exposures",1622.95,1763,1916.65,7,"status quo"
"Anambra","ts_exposures",1607.9,1775.5,1913.775,8,"status quo"
"Anambra","ts_exposures",1606.55,1774.5,1917,9,"status quo"
"Anambra","ts_exposures",1612.425,1782,1949.075,10,"status quo"
"Anambra","ts_exp_PEP",757.85,868,960.525,1,"status quo"
"Anambra","ts_exp_PEP",782.475,891,1018.525,2,"status quo"
"Anambra","ts_exp_PEP",830.9,908.5,1004.875,3,"status quo"
"Anambra","ts_exp_PEP",824,916.5,1019.875,4,"status quo"
"Anambra","ts_exp_PEP",815.225,920.5,1012.575,5,"status quo"
"Anambra","ts_exp_PEP",811.95,908,1029.775,6,"status quo"
"Anambra","ts_exp_PEP",825.475,904,1013.625,7,"status quo"
