"state","humans","poverty","muslim","HDR","vax_dogs","pPEP","vc","hdr","dogs"
"Abia",4535113,0.31,0,NA,2703,0.578403607393161,0.178633738126697,3,1511704.33333333
"Adamawa",5066774,0.75,0.5,7.8,3644,0.417587338450814,0.060499715085856,15.5,326888.64516129
"Akwa Ibom",6219289,0.27,0,NA,2944,0.609868870855704,0.207732306245758,3,2073096.33333333
"Anambra",6658837,0.15,0.01,NA,290,0.714987512487364,0.32577080519043,3.25,2048872.92307692
"Bauchi",7416295,0.62,0.83,4.1,3532,0.437082079758153,0.0726096005636412,23.75,312265.052631579
"Bayelsa",2716743,0.23,0.1,NA,975,0.643676138239514,0.241875637193159,5.5,493953.272727273
"Benue",6779671,0.31,0.03,NA,5911,0.578403607393161,0.178633738126697,3.75,1807912.26666667
"Borno",6648119,0.7,0.88,4.1,0,0.423499433678059,0.0641185399425943,25,265924.76
"Cross River",4610993,0.36,0.03,NA,3687,0.543200371094254,0.148760127915769,3.75,1229598.13333333
"Delta",6554626,0.06,0.01,NA,0,0.792852076363792,0.441792130313639,3.25,2016808
"Ebonyi",3469730,0.8,0.01,NA,1396,0.413128762561678,0.0578007259183114,3.25,1067609.23076923
"Edo",5153505,0.12,0.19,NA,1178,0.741727734363537,0.362279810136667,7.75,664968.387096774
"Ekiti",3823581,0.27,0.11,NA,1246,0.609868870855704,0.207732306245758,5.75,664970.608695652
"Enugu",5208446,0.58,0.01,NA,1297,0.446363321281996,0.0785580755439803,3.25,1602598.76923077
"Gombe",3769522,0.62,0.8,NA,3862,0.437082079758153,0.0726096005636412,23,163892.260869565
"Imo",6259951,0.29,0,NA,749,0.593802486256886,0.192572818150402,3,2086650.33333333
"Jigawa",6950789,0.87,0.98,NA,4840,0.40869143439848,0.0551399166152499,27.5,252755.963636364
"Kaduna",9744015,0.43,0.56,NA,4043,0.502477289213425,0.117289067379254,17,573177.352941177
"Kano",14984255,0.55,0.97,NA,633,0.454673776608914,0.0839887191526489,27.25,549880.917431193
"Katsina",9246862,0.56,0.95,NA,656,0.45176451669755,0.082076201813799,26.75,345677.08411215
"Kebbi",5190442,0.5,0.92,NA,1,0.471521753213271,0.0953127868522843,26,199632.384615385
"Kogi",5282092,0.29,0.52,NA,464,0.593802486256886,0.192572818150402,16,330130.75
"Kwara",3770021,0.2,0.76,13,1660,0.670099601612513,0.270917087274257,22,171364.590909091
"Lagos",14525731,0.05,0.56,5.6,1487,0.8009126633009,0.455673639874459,17,854454.764705882
"Nasarawa",2979509,0.57,0.57,5.45,2900,0.448996153276957,0.0802677443100446,17.25,172725.15942029
"Niger",6303318,0.66,0.62,5.4,18596,0.429559603650416,0.0678761196553057,18.5,340719.891891892
"Ogun",5978759,0.09,0.59,NA,412,0.767808505683601,0.401105213941902,17.75,336831.492957746
"Ondo",5516123,0.13,0.14,NA,3300,0.732867541064329,0.349833738721006,6.5,848634.307692308
"Osun",5446124,0.09,0.53,NA,2031,0.767808505683601,0.401105213941902,16.25,335146.092307692
"Oyo",8895115,0.1,0.58,NA,1328,0.759212596067471,0.387931716010196,17.5,508292.285714286
"Plateau",5110734,0.55,0.29,NA,4556,0.454673776608914,0.0839887191526489,10.25,498608.195121951
"Rivers",8285980,0.24,0,NA,548,0.635044581552091,0.232852392750284,3,2761993.33333333
"Sokoto",5901515,0.88,0.99,NA,146,0.408192195458411,0.0548421168251452,27.75,212667.207207207
"Taraba",3657570,0.88,0.41,NA,6526,0.408192195458411,0.0548421168251452,13.25,276043.018867925
"Yobe",3699869,0.72,0.95,NA,2072,0.420934845119042,0.0625431008648069,26.75,138312.859813084
"Zamfara",5226036,0.74,0.99,NA,2018,0.4186410904958,0.0611413667728091,27.75,188325.621621622
"Federal Capital Territory",2241336,0.39,0.49,NA,1892,0.524506035135781,0.133928670072351,15.25,146972.852459016
