state,humans,poverty,muslim,HDR,vax_dogs,pPEP,vc,hdr,dogs
Abia,4535113,0.43054054054054053,0.4562162162162162,NA,2703,0.5172869819337914,0.10607221524645667,14.405405405405405,314820.22701688553
Adamawa,5066774,0.43054054054054053,0.4562162162162162,7.8,3644,0.5172869819337914,0.10607221524645667,14.405405405405405,351727.2757973734
Akwa Ibom,6219289,0.43054054054054053,0.4562162162162162,NA,2944,0.5172869819337914,0.10607221524645667,14.405405405405405,431733.00750469044
Anambra,6658837,0.43054054054054053,0.4562162162162162,NA,290,0.5172869819337914,0.10607221524645667,14.405405405405405,462245.72045028146
Bauchi,7416295,0.43054054054054053,0.4562162162162162,4.1,3532,0.5172869819337914,0.10607221524645667,14.405405405405405,514827.23264540336
Bayelsa,2716743,0.43054054054054053,0.4562162162162162,NA,975,0.5172869819337914,0.10607221524645667,14.405405405405405,188591.91557223265
Benue,6779671,0.43054054054054053,0.4562162162162162,NA,5911,0.5172869819337914,0.10607221524645667,14.405405405405405,470633.82176360226
Borno,6648119,0.43054054054054053,0.4562162162162162,4.1,0,0.5172869819337914,0.10607221524645667,14.405405405405405,461501.6941838649
Cross River,4610993,0.43054054054054053,0.4562162162162162,NA,3687,0.5172869819337914,0.10607221524645667,14.405405405405405,320087.6941838649
Delta,6554626,0.43054054054054053,0.4562162162162162,NA,0,0.5172869819337914,0.10607221524645667,14.405405405405405,455011.56097560975
Ebonyi,3469730,0.43054054054054053,0.4562162162162162,NA,1396,0.5172869819337914,0.10607221524645667,14.405405405405405,240863.05816135084
Edo,5153505,0.43054054054054053,0.4562162162162162,NA,1178,0.5172869819337914,0.10607221524645667,14.405405405405405,357748.0018761726
Ekiti,3823581,0.43054054054054053,0.4562162162162162,NA,1246,0.5172869819337914,0.10607221524645667,14.405405405405405,265426.82363977487
Enugu,5208446,0.43054054054054053,0.4562162162162162,NA,1297,0.5172869819337914,0.10607221524645667,14.405405405405405,361561.91744840523
Gombe,3769522,0.43054054054054053,0.4562162162162162,NA,3862,0.5172869819337914,0.10607221524645667,14.405405405405405,261674.13508442778
Imo,6259951,0.43054054054054053,0.4562162162162162,NA,749,0.5172869819337914,0.10607221524645667,14.405405405405405,434555.69793621014
Jigawa,6950789,0.43054054054054053,0.4562162162162162,NA,4840,0.5172869819337914,0.10607221524645667,14.405405405405405,482512.55722326454
Kaduna,9744015,0.43054054054054053,0.4562162162162162,NA,4043,0.5172869819337914,0.10607221524645667,14.405405405405405,676413.799249531
Kano,14984255,0.43054054054054053,0.4562162162162162,NA,633,0.5172869819337914,0.10607221524645667,14.405405405405405,1040182.8048780488
Katsina,9246862,0.43054054054054053,0.4562162162162162,NA,656,0.5172869819337914,0.10607221524645667,14.405405405405405,641902.2401500938
Kebbi,5190442,0.43054054054054053,0.4562162162162162,NA,1,0.5172869819337914,0.10607221524645667,14.405405405405405,360312.10881801124
Kogi,5282092,0.43054054054054053,0.4562162162162162,NA,464,0.5172869819337914,0.10607221524645667,14.405405405405405,366674.30393996247
Kwara,3770021,0.43054054054054053,0.4562162162162162,13,1660,0.5172869819337914,0.10607221524645667,14.405405405405405,261708.77485928705
Lagos,14525731,0.43054054054054053,0.4562162162162162,5.6,1487,0.5172869819337914,0.10607221524645667,14.405405405405405,1008352.808630394
Nasarawa,2979509,0.43054054054054053,0.4562162162162162,5.45,2900,0.5172869819337914,0.10607221524645667,14.405405405405405,206832.70731707316
Niger,6303318,0.43054054054054053,0.4562162162162162,5.4,18596,0.5172869819337914,0.10607221524645667,14.405405405405405,437566.1651031895
Ogun,5978759,0.43054054054054053,0.4562162162162162,NA,412,0.5172869819337914,0.10607221524645667,14.405405405405405,415035.80300187616
Ondo,5516123,0.43054054054054053,0.4562162162162162,NA,3300,0.5172869819337914,0.10607221524645667,14.405405405405405,382920.3583489681
Osun,5446124,0.43054054054054053,0.4562162162162162,NA,2031,0.5172869819337914,0.10607221524645667,14.405405405405405,378061.1407129456
Oyo,8895115,0.43054054054054053,0.4562162162162162,NA,1328,0.5172869819337914,0.10607221524645667,14.405405405405405,617484.5309568481
Plateau,5110734,0.43054054054054053,0.4562162162162162,NA,4556,0.5172869819337914,0.10607221524645667,14.405405405405405,354778.90806754224
Rivers,8285980,0.43054054054054053,0.4562162162162162,NA,548,0.5172869819337914,0.10607221524645667,14.405405405405405,575199.3621013133
Sokoto,5901515,0.43054054054054053,0.4562162162162162,NA,146,0.5172869819337914,0.10607221524645667,14.405405405405405,409673.64915572235
Taraba,3657570,0.43054054054054053,0.4562162162162162,NA,6526,0.5172869819337914,0.10607221524645667,14.405405405405405,253902.60787992497
Yobe,3699869,0.43054054054054053,0.4562162162162162,NA,2072,0.5172869819337914,0.10607221524645667,14.405405405405405,256838.93621013133
Zamfara,5226036,0.43054054054054053,0.4562162162162162,NA,2018,0.5172869819337914,0.10607221524645667,14.405405405405405,362782.98686679173
Federal Capital Territory,2241336,0.43054054054054053,0.4562162162162162,NA,1892,0.5172869819337914,0.10607221524645667,14.405405405405405,155589.9287054409
